DOI,Trait
10.1002/ajp.22374,circumperineal coloration
10.1002/ajp.22374,terrestriality
10.1002/eap.1434,adult survival rates
10.1002/eap.1434,age at first breeding
10.1002/eap.1434,diet breadth
10.1002/eap.1434,ground nesting
10.1002/eap.1434,habitat specialist
10.1002/eap.1434,length of breeding season
10.1002/eap.1434,max lifespan
10.1002/eap.1434,mean clutch size
10.1002/eap.1434,migratory behavior
10.1002/eap.1434,number of fledging days
10.1002/eap.1434,number of incubation days
10.1002/eap.1434,typical number of broods
10.1002/eap.1530,body size
10.1002/eap.1530,diet
10.1002/eap.1530,habitat
10.1002/eap.1530,metabolic rate
10.1002/eap.1535/full,diet
10.1002/eap.1535/full,habitat
10.1002/eap.1535/full,locomotion
10.1002/eap.1554/full,ecomorphological guild of tadpoles
10.1002/eap.1554/full,geomorphology preference
10.1002/eap.1554/full,life history
10.1002/eap.1554/full,locomotion type
10.1002/eap.1554/full,mobility
10.1002/eap.1554/full,morphology
10.1002/eap.1554/full,reproductive strategy
10.1002/eap.1554/full,stream size affinity
10.1002/eap.1554/full,substrate affinity
10.1002/eap.1554/full,trophic level
10.1002/eap.1621,adult body length
10.1002/eap.1621,age at first maturity
10.1002/eap.1621,altitude
10.1002/eap.1621,current velocity
10.1002/eap.1621,egg diameter
10.1002/eap.1621,feeding diet
10.1002/eap.1621,feeding habitat
10.1002/eap.1621,feeding method
10.1002/eap.1621,habitat
10.1002/eap.1621,longitudinal distribution
10.1002/eap.1621,number of spawning events per year
10.1002/eap.1621,parental care
10.1002/eap.1621,pH
10.1002/eap.1621,relative fecundity
10.1002/eap.1621,reproduction habitat
10.1002/eap.1621,rheophily habitat
10.1002/eap.1621,salinity
10.1002/eap.1621,saprobity
10.1002/eap.1621,substrate
10.1002/eap.1621,thermal tolerance
10.1002/eap.1621,transversal distribution
10.1002/eap.1621,trophic guild
10.1002/ece3.1084,age at maturity
10.1002/ece3.1084,diet
10.1002/ece3.1084,humidity tolerance
10.1002/ece3.1084,inundation tolerance
10.1002/ece3.1084,microhabitat association
10.1002/ece3.1084,number of offspring
10.1002/ece3.1084,number of reproduction periods
10.1002/ece3.1084,reproductive mode
10.1002/ece3.1084,shell shape
10.1002/ece3.1084,shell size
10.1002/ece3.1084,survival of dry period
10.1002/ece3.1260,body mass
10.1002/ece3.1260,body section area
10.1002/ece3.1260,body section shape
10.1002/ece3.1260,caudal fin shape
10.1002/ece3.1260,caudal peduncle throttling
10.1002/ece3.1260,eye diameter
10.1002/ece3.1260,eye position
10.1002/ece3.1260,fins area
10.1002/ece3.1260,fins area ratio
10.1002/ece3.1260,gill raker length
10.1002/ece3.1260,oral gape position
10.1002/ece3.1260,oral gape shape
10.1002/ece3.1260,oral gape surface
10.1002/ece3.1260,pectoral fin position
10.1002/ece3.1260,pectoral fin shape
10.1002/ece3.2081,BMWP index
10.1002/ece3.2081,microhabitat association
10.1002/ece3.2081,reophily
10.1002/ece3.2081,respiration
10.1002/ece3.2328,body shape
10.1002/ece3.2328,body width
10.1002/ece3.2328,caudal peduncle depth
10.1002/ece3.2328,caudal peduncle length
10.1002/ece3.2328,diet
10.1002/ece3.2328,locomotor propulsion mechanism
10.1002/ece3.2328,mouth position
10.1002/ece3.2606,foraging method
10.1002/ece3.2606,nesting habitat preference
10.1002/ece3.263,thermal tolerance
10.1002/ece3.3068,LDMC
10.1002/ece3.3068,leaf area
10.1002/ece3.3068,leaf C content
10.1002/ece3.3068,leaf C:N ratio
10.1002/ece3.3068,leaf N content
10.1002/ece3.3068,max plant height
10.1002/ece3.3068,seed mass
10.1002/ece3.3068,SLA
10.1002/ece3.3297,bark thickness
10.1002/ece3.3297,cold tolerance
10.1002/ece3.3297,dispersal method
10.1002/ece3.3297,drought tolerance
10.1002/ece3.3297,fire tolerance
10.1002/ece3.3297,growth rate
10.1002/ece3.3297,height
10.1002/ece3.3297,leaf N content
10.1002/ece3.3297,leaf P
10.1002/ece3.3297,leaf shape
10.1002/ece3.3297,lifespan
10.1002/ece3.3297,seed mass
10.1002/ece3.3297,shade tolerance
10.1002/ece3.3297,SLA
10.1002/ece3.3297,waterlogging tolerance
10.1002/ece3.3297,winter buds size
10.1002/ece3.3297,wood density
10.1002/ece3.3541,bark thickness
10.1002/ece3.3609,flowering duration
10.1002/ece3.3609,flowering onset
10.1002/ece3.3609,LDMC
10.1002/ece3.3609,seed mass
10.1002/ece3.3609,seed number
10.1002/ece3.3609,SLA
10.1002/ece3.3609,vegetative height
10.1002/ece3.3613,animal component of the diet
10.1002/ece3.3613,head-body length
10.1002/ece3.3613,tail:body ratio
