DOI,Relevant to Study,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Trait Types,Fundamental,Physical,Ecological,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change Driver
10.1111/gcb.13538,Y,0,0,0,0,1,0,Q Model,Marine,Birds,Tundra,0,0,0,1,0,Life History,1,0,0,0,F,0,Climate Change
10.1111/1365-2435.12718,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Temperate Forest,1,1,1,1,0,"Morphological, Physiological, Life History",0,0,1,0,E,0,0
10.1086/703155,Y,0,0,0,0,0,1,T Model,Broad,Broad,Broad,0,0,0,1,1,"Behavioural, Life History",0,0,0,1,T,0,0
10.1111/j.1558-5646.2012.01659.x,N,0,0,0,0,0,1,T Model,Broad,Broad,Broad,0,,,,,NA,0,0,0,0,NA,0,0
10.1007/BF01237849,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/BF01237642,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.2307/2937081,Y,0,1,0,0,0,0,Observational,Terrestrial,Herps,Desert,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,1,T,0,0
10.1098/rspb.2018.0621,Y,0,1,0,0,0,0,Observational,Marine,Plankton,Broad,0,1,0,0,0,Morphological,1,0,0,1,T,0,0
10.1111/jeb.12717,Y,0,1,0,0,0,0,Observational,Terrestrial,Birds,Tropical Seasonal Forest,0,1,0,0,0,Morphological,0,0,1,0,E,0,0
10.1111/j.0014-3820.2000.tb00694.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1086/368401,Y,1,0,0,0,0,0,Review,Terrestrial,Plants,Broad,1,0,1,0,0,Physiological,1,0,0,0,F,0,0
10.1111/j.1461-0248.2006.01006.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Temperate Forest,1,1,0,0,0,Morphological,0,1,1,0,P,0,0
10.1111/ele.12157,Y,1,0,0,0,0,1,"T Model, Review",Broad,Broad,Broad,1,1,1,1,0,"Physiological, Morphological, Life History",1,0,1,0,E,0,0
10.1073/pnas.1315179111,Y,0,0,0,0,1,0,Q Model,Terrestrial,Plants,NA,0,1,0,0,0,Morphological,0,1,1,0,P,0,0
10.1163/156854200505865,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ecog.01930,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.ympev.2009.10.033,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1890/05-0219,Y,0,0,1,0,0,0,Experiment,Terrestrial,Plants,Grassland,0,1,0,0,0,Morphological,0,0,1,1,T,0,Invasion
10.1038/srep24451,Y,1,0,0,0,0,0,Review,Terrestrial,Insects,Broad,0,1,0,1,1,"Morphological, Behavioural, Life History",1,1,0,1,T,0,Climate Change
10.1111/j.1365-2435.2010.01727.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Broad,0,1,1,0,0,"Morphological, Physiological",1,0,1,0,F,0,0
10.1111/j.1365-2745.2010.01651.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Broad,0,1,1,0,0,"Morphological, Physiological",1,0,0,0,F,0,0
10.1007/s10526-017-9860-6,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Olive Plantations,0,0,0,0,1,Behavioural  ,0,0,0,1,T,0,0
10.1086/682680,Y,1,0,0,0,0,0,Review,Terrestrial,Mammals,Broad,1,0,1,0,1,"Behavioural, Physiological",1,1,0,0,P,0,0
10.1111/jvs.12252,Y,0,0,0,0,0,1,T Model,Terrestrial,Plants,Temperature Forest,1,0,1,0,0,Life History,1,0,1,0,P,1,0
10.1034/j.1600-0706.2000.880215.x,Y,0,1,1,0,0,0,"Observational, Experimental",Terrestrial,Plants,Temperate Forest,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1111/j.1420.9101.2004.00788.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.7717/peerj.5038,Y,0,0,0,0,1,0,Q Model,Marine,Other,Estuary/Enclosed Sea,1,1,1,1,0,"Physiological, Morphological, Life History",1,1,1,0,E,0,0
10.1098/rspb.2014.1745,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/geb.12003,Y,1,0,0,0,0,0,Review,Terrestrial,Herps,Tropical Rainforest,0,1,0,0,0,Morphological,0,1,0,0,P,0,0
10.1007/s10750-013-1711-6,Y,0,1,0,0,0,0,Observational,Freshwater,Other,River Floodplain,0,1,0,1,1,"Morphological, Life History, Behavioural",1,1,1,0,P,0,0
10.1007/s11538-012-9771-8,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ele.12728,Y,1,0,0,0,0,0,Review,Terrestrial,Broad,Broad,0,1,0,1,1,"Morphological, Behavioural, Life History, ",0,1,1,0,P,0,Invasion
10.1890/11-0181.1,Y,0,1,0,0,1,0,"Observational, Q Model",Marine,Birds,Mediterranean Basin,0,1,0,0,0,Morophological,0,0,1,1,E,0,0
10.1111/j.1529-8817.2009.00767.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s13127-016-0299-x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.ecolind.2013.01.038,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ele.12945,Y,1,0,0,0,0,0,Review,Broad,Plants,Broad,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1111/nph.12907,Y,0,0,0,1,0,0,Metanalysis,Broad,Plants,Broad,1,0,1,0,0,Physiological  ,1,0,0,0,F,0,0
10.1016/j.ecolmodel.2007.01.002,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1186/1471-2148-10-204,Y,1,0,0,0,0,0,Review,Terrestrial,Multiple,Broad,0,1,0,0,0,Morophological,0,0,0,1,T,0,0
10.1111/j.1365-2745.2011.01795.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Serengeti Grassland,0,1,0,0,0,Morphological,1,0,1,0,F,0,0
10.1666/0094-8373(2005)031<0056:WTPCIT>2.0.CO;2,Y,0,0,0,0,1,0,Q Model,Terrestrial,Mammals,Broad,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1111/j.1461-0248.2011.01620.x,Y,1,0,0,0,1,0,Review/Q Model,Terrestrial,Multiple,Broad,0,1,0,1,1,"Morphology, Life History, Behavioural",0,1,0,1,T,0,Climate Change
10.1111/ele.12532,Y,0,0,1,0,0,0,Experiment,Terrestrial,Plants,Broad,1,1,1,1,0,"Morphological, Physiological, Life History",1,0,0,0,E,0,0
10.1016/j.ecolind.2017.03.035,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/jeb.12923,Y,0,1,0,0,0,0,Observational,Freshwater,Other,Broad,0,0,0,0,1,Behavioural,0,0,0,1,T,0,0
10.1007/s10531-014-0843-y,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Tropical Rainforest,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1098/rspb.2004.2899,Y,0,0,1,0,0,0,Experiment,Freshwater,Fish,River  ,0,0,0,1,0,Life History,0,0,0,1,T,0,0
10.7717/peerj.1241,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,1,T,0,0
10.1371/journal.pone.0005529,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1890/03-5340,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1890/0012-9658(1998)079[1847:ORNOPI]2.0.CO;2,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1098/rsos.160957,Y,1,0,0,0,0,0,Review,Terrestrial,Mammals,Broad,0,1,0,0,0,Morphological,0,0,0,1,,0,0
10.3389/fevo.2018.00028,N,0,0,1,0,0,0,Experiment,Freshwater,Multiple,River,0,,,,,,0,0,0,0,,,
10.1007/s10452-015-9546-z,Y,0,1,0,0,0,0,Observational,Freshwater,Other,Floodplain,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1111/j.1365-2427.2009.02340.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1098/rspb.2005.3174,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ece3.1084,Y,0,0,0,0,1,0,Q Model,Terrestrial,Other,Broad,1,1,0,1,1,"Morphological, Life History, Behavioural",1,0,1,0,T,0,0
10.1111/jbi.12946,Y,0,1,0,0,0,0,Observational,Terrestrial,Other,Broad,1,1,0,1,1,"Morphological, Life History, Behavioural",1,0,1,0,T,0,0
10.1098/rsos.181702,Y,0,0,0,0,0,1,T Model,Broad,Broad,Broad,0,0,0,0,1,Behavioural ,1,1,0,0,T,0,0
10.1371/journal.pone.0151243,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.5751/ACE-00429-060102,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1461-0248.2007.01140.x,Y,0,0,1,0,0,0,Experiment,Terrestrial,Plants,Broad,0,0,0,0,1,Behavioural,0,0,1,0,E,0,0
10.1111/1365-2664.13134,Y,1,0,0,0,0,0,Review,Terrestrial,Plants,Tropical Rainforest,0,1,0,0,0,Morphological,1,0,0,0,F,0,Habitat Degredation
10.1017/S0960258510000176,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Grassland,0,1,0,0,0,Morphological,1,0,0,1,T,0,0
10.1111/ele.12351,Y,0,1,0,0,0,0,Observational,Marine,Fish,Mediterranean  ,0,1,0,0,0,Morphological,0,0,1,0,E,0,0
10.1371/journal.pone.0090437,Y,0,1,0,0,0,0,Observational,Terrestrial,Multiple,Boreal Forest,0,1,0,1,1,"Morphological, Life Hsitory, Behavioural",0,0,0,1,T,0,0
10.1111/1365-2745.12333,Y,0,0,0,1,0,0,Metanalysis,Terrestrial,Plants,Broad,0,1,0,1,0,"Morphological, Life History  ",0,1,0,0,P,0,0
10.1111/1365-2656.12570,Y,1,0,0,0,0,0,Review,Terrestrial,Birds,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,1,0,E,0,0
10.1111/1365-2656.12317,N,0,0,1,0,0,1,"T Model, Experiment",Broad,Multiple,Broad,0,1,0,0,1,"Morphological, Behavioural",0,0,0,0,?,0,0
10.1111/j.1365-2745.2012.01966.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Tropical Rainforest,0,1,0,0,0,Morphological,1,0,1,0,F,0,0
10.1111/j.1365-2109.2012.03205.x,Y,0,0,1,0,0,0,Experiment,Freshwater,Fish,Broad,0,1,0,0,1,"Morphological, Behavioural",0,0,0,1,T,0,0
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/0169-2046(94)01038-A,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s11160-018-9522-5,Y,1,0,0,0,0,0,Review,Marine,Fish,Marine Soft Bottoms,0,1,0,0,1,"Morphological, Behavioural",0,0,0,1,T,0,0
10.1002/ajpa.1330950203,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/mec.13998,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ddi.12275,N,0,1,0,0,0,0,Observational,Terrestrial,Birds,Grassland,0,1,0,1,1,"Morphological, Life History, Behavioural",0,0,0,0,,,
10.1007/s12080-011-0148-7,Y,0,0,0,0,0,1,T Model,Broad,Broad,Broad,0,0,0,1,1,"Morophological, Behavioural",1,0,0,1,T,1,0
10.1111/1365-2656.12140,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1095-8649.2010.02640.x,Y,0,1,0,0,0,0,Observational,Freshwater,Fish,River,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1186/1471-2105-13-S8-S8,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/oik.04507,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,1,T,0,Habitat Degredation
10.1242/jeb.059022,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s11692-017-9409-8,Y,0,1,0,0,0,1,"T Model, Observational",Terrestrial,Multiple,Broad,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1007/s00442-015-3295-5,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Broad,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
10.1086/675903,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/jbi.13129,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Grassland,0,1,0,0,0,Morphological,1,0,1,0,F,0,0
10.1016/j.ecolmodel.2018.05.002,N ,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.14471/2016.36.015,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Alpine,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1007/s10661-015-4519-1,Y,0,1,0,0,0,0,Observational,Freshwater,Plankton,Reservoir,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1007/s00265-002-0461-7,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.ecolind.2017.01.011,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1600-0587.2013.00122.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Tropical Rainforest,0,0,0,1,0,Life History,1,1,0,0,P,0,0
10.1002/etc.3029,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1095-8312.2008.01102.x,Y,1,0,0,0,0,0,Review,Terrestrial,Insects,Broad,0,0,0,1,0,Life History,1,0,0,1,T,0,0
10.2307/1939076,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1890/14-1184.1,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1017/S0007485308005919,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ecog.03396,Y,1,0,0,0,0,0,Review,Terrestrial,Multiple,Broad,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1371/journal.pone.0082344,Y,0,0,1,0,0,0,Experiment,Freshwater,Multiple,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",0,0,0,1,T,0,0
10.1111/ele.12153,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1038/sdata.2018.22,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/eco.1734,Y,0,1,0,0,0,0,Observational,Freshwater,Fish,Rivers,0,1,0,1,0,Morphological,1,0,0,0,F,0,0
