Original_trait,Trait_spell_corrected,Context_needed,Primary_classification,Secondary_classification,Tertiary_classification,Revised_major_class,Revised_fine_class,4th_class,Revision_addressed,Revision_suggested,NOTES,Reviewed
growth rings,growth rings,0,growth,age,,age,growth rings,,,,,CB
age,age,0,life history,age,,age,age,,,,,CB
age category,age category,0,life history,age,,age,age category,,,,,CB
age at 50% maturity,age at 50% maturity,0,life history,age/size at maturity,,age/size at maturity,age at 50% maturity,,,,,CB
age at first breeding,age at first breeding,0,life history,age/size at maturity,,age/size at maturity,age at first breeding,,,,,CB
age at first flowering,age at first flowering,0,life history,age/size at maturity,,age/size at maturity,age at first flowering,,,,,CB
age at first maturity,age at first maturity,0,life history,age/size at maturity,,age/size at maturity,age at first maturity,,,,,CB
age at first reproduction,age at first reproduction,0,life history,age/size at maturity,,age/size at maturity,age at first reproduction,,,,,CB
age at maturation,age at maturation,0,life history,age/size at maturity,,age/size at maturity,age at maturation,,,,,CB
age at maturity,age at maturity,0,life history,age/size at maturity,,age/size at maturity,age at maturity,,,,,CB
age at sex change.,age at sex change.,0,life history,age/size at maturity,,age/size at maturity,age at sex change.,,,,,CB
age at sexual maturity,age at sexual maturity,0,life history,age/size at maturity,,age/size at maturity,age at sexual maturity,,,,,CB
age class,age class,0,life history,age/size at maturity,,age/size at maturity,age class,,,,,CB
age first flowering,age first flowering,0,life history,age/size at maturity,,age/size at maturity,age first flowering,,,,,CB
age of first flowering,age of first flowering,0,life history,age/size at maturity,,age/size at maturity,age of first flowering,,,,,CB
canopy height at maturity,canopy height at maturity,0,life history,age/size at maturity,,age/size at maturity,canopy height at maturity,,,,,CB
date of first flowering,date of first flowering,0,life history,age/size at maturity,,age/size at maturity,date of first flowering,,,,,CB
female age at maturation,female age at maturation,0,life history,age/size at maturity,,age/size at maturity,female age at maturation,,,,,CB
female size at maturity,female size at maturity,0,life history,age/size at maturity,,age/size at maturity,female size at maturity,,,,,CB
length at maturation,length at maturation,0,life history,age/size at maturity,,age/size at maturity,length at maturation,,,,,CB
length at maturity,length at maturity,0,life history,age/size at maturity,,age/size at maturity,length at maturity,,,,,CB
male size at maturity,male size at maturity,0,life history,age/size at maturity,,age/size at maturity,male size at maturity,,,,,CB
maturation age,maturation age,0,life history,age/size at maturity,,age/size at maturity,maturation age,,,,,CB
max height at maturity,max height at maturity,0,life history,age/size at maturity,,age/size at maturity,max height at maturity,,,,,CB
mean family age,mean family age,0,life history,age/size at maturity,,age/size at maturity,mean family age,,,,,CB
minimum reproductive age,minimum reproductive age,0,life history,age/size at maturity,,age/size at maturity,minimum reproductive age,,,,,CB
reproductive height,reproductive height,0,life history,age/size at maturity,,age/size at maturity,reproductive height,,,,,CB
reproductive maturity,reproductive maturity,0,life history,age/size at maturity,,age/size at maturity,reproductive maturity,,,,,CB
reproductive plant height,reproductive plant height,0,life history,age/size at maturity,,age/size at maturity,reproductive plant height,,,,,CB
sexual maturity age,sexual maturity age,0,life history,age/size at maturity,,age/size at maturity,sexual maturity age,,,,,CB
size at maturation,size at maturation,0,life history,age/size at maturity,,age/size at maturity,size at maturation,,,,,CB
size at maturity,size at maturity,0,life history,age/size at maturity,,age/size at maturity,size at maturity,,,,,CB
smallest size of mature female sample,smallest size of mature female sample,0,life history,age/size at maturity,,age/size at maturity,smallest size of mature female sample,,,,,CB
time to maturity,time to maturity,0,life history,age/size at maturity,,age/size at maturity,time to maturity,,,,,CB
sociability,sociability,0,activity,aggregation,sociality,sociality,sociality,,,,,CB
social behaviour,social behaviour,0,activity,aggregation,sociality,sociality,sociality,,,,,CB
social grouping,social grouping,0,activity,aggregation,sociality,sociality,sociality,,,,,CB
sociality,sociality,0,activity,aggregation,sociality,sociality,sociality,,,,,CB
degree of sociality,degree of sociality,0,activity,aggregation,sociality,sociality,sociality,,,,,CB
aggregation size,aggregation size,0,activity,aggregation,,aggregation,aggregation size,,,,,CB
formation of chains,formation of chains,1,activity,aggregation,,aggregation,formation of chains,,1,,"CB: behaviour in phytoplankton, forming multicellular chains",CB
formation of colonies,formation of colonies,1,activity,aggregation,,aggregation,formation of colonies,,1,,CB: planktonic defence strategy,CB
gregariousness,gregariousness,0,activity,aggregation,,aggregation,gregariousness,,,,,CB
group size,group size,0,activity,aggregation,,aggregation,group size,,,,,CB
herd size,herd size,0,activity,aggregation,,aggregation,herd size,,,,,CB
mean group size,mean group size,0,activity,aggregation,,aggregation,mean group size,,,,,CB
school size,school size,0,activity,aggregation,,aggregation,school size,,,,,CB
schooling behaviour,schooling behaviour,0,activity,aggregation,,aggregation,schooling behaviour,,,,,CB
dangerous to humans,dangerous to humans,1,activity,aggression,managed species,managed species,managed species,,1,"NH: interesting, this isn't one I was expecting, but an important trait. I would suggest the following classifications: 1) management trait, 2) human-animal conflict, 3) threat to humans, as opposed to management traits that might be 2) conservation concern, 3) vulnerability to something.",,CB
aggression,aggression,0,activity,aggression,,aggression,aggression,,,,,CB
aggression to conspecifics,aggression to conspecifics,0,activity,aggression,,aggression,aggression to conspecifics,,,,,CB
artifacts of conflict,artifacts of conflict,1,activity,aggression,,aggression,artifacts of conflict,,1,NH?,CB: essentially 'scars' dictatintg whether or not the organism engaged in conflict,CB
altitude,altitude,0,habitat,altitude,,altitude,altitude,,,,,CB
altitudinal affinity,altitudinal affinity,0,habitat,altitude,,altitude,altitudinal affinity,,,,,CB
altitudinal preferences,altitudinal preferences,0,habitat,altitude,,altitude,altitudinal preferences,,,,,CB
root conentrations of Al,root concentrations of Al,0,composition,aluminum,,aluminum,root concentrations of Al,,,,,CB
ammonia excretion rate,ammonia excretion rate,0,resource acquisition,amonia excretion,,amonia excretion,ammonia excretion rate,,,,,NH
scape length,scape length,0,morphology,antennae,,antennae,scape length,,,,,CB
swimming antennae length ratio to body size,swimming antennae length ratio to body size,0,morphology,antennae,,antennae,swimming antennae length ratio to body size,,,,,CB
attack efficiency,attack efficiency,0,resource acquisition,attack,,attack,attack efficiency,activity,,,,NH
attack rate,attack rate,0,resource acquisition,attack,,attack,attack rate,activity,,,,NH
attack range,attack range,0,resource acquisition,attack,,attack,attack range,,,,,NH
behaviour,behaviour,0,activity,behaviour,,behaviour,behaviour,,,,,CB
behavioural dominance,behavioural dominance,0,activity,behaviour,,behaviour,behavioural dominance,,,,,CB
behavioural guild,behavioural guild,0,activity,behaviour,,behaviour,behavioural guild,,,,,CB
behavioural stereotypy,behavioural stereotypy,0,activity,behaviour,,behaviour,behavioural stereotypy,,,,,CB
behavioural syndrome,behavioural syndrome,0,activity,behaviour,,behaviour,behavioural syndrome,,,,,CB
body position,body position,0,activity,behaviour,,behaviour,body position,,1,1,secondary 'behaviour',CB
boldness,boldness,0,activity,behaviour,,behaviour,boldness,,1,1,CB: Secondary: 'behaviour',CB
chick provisioning mode,chick provisioning mode,0,activity,behaviour,,behaviour,chick provisioning mode,,1,1,CB: Secondary 'behaviour',CB
cleaning behaviour,cleaning behaviour,0,activity,behaviour,,behaviour,cleaning behaviour,,1,1,CB: Secondary 'behaviour',CB
compliance,compliance,0,activity,behaviour,,behaviour,compliance,,1,1,CB: Secondary 'behaviour',CB
degree of summertime activity,degree of summertime activity,0,activity,behaviour,,behaviour,degree of summertime activity,,1,1,secondary 'behaviour',CB
digging,digging,0,activity,behaviour,,behaviour,digging,,1,1,secondary ' behaviour',CB
exploration,exploration,0,activity,behaviour,,behaviour,exploration,,1,1,secondary ' behaviour',CB
female oviposition behaviour,female oviposition behaviour,0,activity,behaviour,,behaviour,female oviposition behaviour,,1,1,secondary ' behaviour',CB
habit,habit,0,activity,behaviour,,behaviour,habit,,1,1,secondary ' behaviour',CB
nycthmeral behaviour,nycthmeral behaviour,1,activity,behaviour,,behaviour,nycthmeral behaviour,,1,,CB: 'daily' behaviour,CB
percentage of time,percentage of time,0,activity,behaviour,,behaviour,percentage of time,,,,,CB
personality,personality,0,activity,behaviour,,behaviour,personality,,,,,CB
residence time,residence time,1,activity,behaviour,,behaviour,residence time,,1,1,secondary 'behaviour',CB
species behaviour,species behaviour,0,activity,behaviour,,behaviour,species behaviour,,,,,CB
biogeographic position,biogeographic position,0,habitat,biogeographic region,,biogeographic region,biogeographic position,,,,,CB
biogeographic region,biogeographic region,0,habitat,biogeographic region,,biogeographic region,biogeographic region,,,,,CB
biogeographic regions,biogeographic regions,0,habitat,biogeographic region,,biogeographic region,biogeographic regions,,,,,CB
biogeographical origin,biogeographical origin,0,habitat,biogeographic region,,biogeographic region,biogeographical origin,,,,,CB
above ground biomass,above ground biomass,0,abundance,biomass,,biomass,above ground biomass,,,,,CB
biomass,biomass,0,abundance,biomass,,biomass,biomass,,,,,CB
crop mass,crop mass,0,abundance,biomass,,biomass,crop mass,,,,,CB
dry mass per year of above ground biomass,dry mass per year of above ground biomass,0,abundance,biomass,,biomass,dry mass per year of above ground biomass,,,,,CB
mean dry biomass,mean dry biomass,0,abundance,biomass,,biomass,mean dry biomass,,,,,CB
total aboveground biomass,total aboveground biomass,0,abundance,biomass,,biomass,total aboveground biomass,,,,,CB
yeild,yield,0,abundance,biomass,,biomass,yield,,,,,CB
sagittal and laterual diameter of tarsus,sagittal and lateral diameter of tarsus,0,morphology,bone length/shape,foot,foot,foot,,,,,CB
length of hind foot,length of hind foot,0,morphology,bone length/shape,foot length,foot length,foot length,,,,,CB
length of mandibles,length of mandibles,0,morphology,bone length/shape,jaw length,jaw length,jaw length,,,,,CB
length of mandibular tooth row,length of mandibular tooth row,0,morphology,bone length/shape,jaw length,jaw length,jaw length,,,,,CB
length of maxillary tooth row,length of maxillary tooth row,0,morphology,bone length/shape,jaw length,jaw length,jaw length,,,,,CB
lower jaw length,lower jaw length,0,morphology,bone length/shape,jaw traits,jaw traits,jaw traits,,,,,CB
mandible thickness,mandible thickness,0,morphology,bone length/shape,jaw traits,jaw traits,jaw traits,,,,,CB
mandible width,mandible width,0,morphology,bone length/shape,jaw traits,jaw traits,jaw traits,,,,,CB
mandicle incisor process curavture,mandible incisor process curvature,0,morphology,bone length/shape,jaw traits,jaw traits,jaw traits,,,,,NH
length of hind femur,length of hind femur,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
length of the femur,length of the femur,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
length of the femur of front legs,length of the femur of front legs,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
length of the femur of hind legs,length of the femur of hind legs,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
length of the femur of middle legs,length of the femur of middle legs,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
length of tibia in hind leg,length of tibia in hind leg,0,morphology,bone length/shape,leg length,leg length,leg length,,,,,NH
longest toe on the forelimb,longest toe on the forelimb,0,morphology,bone length/shape,toe length,toe length,toe length,,,,,NH
longest toe on the hindlimb,longest toe on the hindlimb,0,morphology,bone length/shape,toe length,toe length,toe length,,,,,NH
condylobasal length,condylobasal length,0,morphology,bone length/shape,,bone length/shape,condylobasal length,,1,NH: secondary --> bone length?,,NH
humerus,humerus,0,morphology,bone length/shape,,bone length/shape,humerus,,1,shape/mobility,secondary,NH
mandible length,mandible length,0,morphology,bone length/shape,,bone length/shape,mandible length,,,,,NH
metacarpus on the forelimb,metacarpus on the forelimb,0,morphology,bone length/shape,,bone length/shape,metacarpus on the forelimb,,,,,NH
metatarsus on the hindlimb,metatarsus on the hindlimb,0,morphology,bone length/shape,,bone length/shape,metatarsus on the hindlimb,,,,,NH
skull height,skull height,0,morphology,bone length/shape,,bone length/shape,skull height,,1,NH: --> bone size,,NH
tarsus,tarsus,0,morphology,bone length/shape,,bone length/shape,tarsus,,,,,NH
tarsus and bill length,tarsus and bill length,0,morphology,bone length/shape,,bone length/shape,tarsus and bill length,,,,,NH
tarsus length,tarsus length,0,morphology,bone length/shape,,bone length/shape,tarsus length,,,,,NH
tibia,tibia,0,morphology,bone length/shape,,bone length/shape,tibia,,,,,NH
