"","DOI","Ecosystem","Taxonomic","Taxonomic Group","GlobalChange","GlobalChangeCat","Predictive","TOS","TT","filter","abundance","activity","composition","growth","habitat","life history","morphology","resource acquisition","survival"
"1","10.1002/ajp.22374","Terrestrial","Mammals","Vertebrate","0","no",0,"Review","Morphological","Abiotic",0,0,0,0,1,0,1,0,0
"2","10.1002/aqc.1198","Freshwater","Fish","Vertebrate","Invasion","yes",0,"Observational","Behavioural","Biotic",0,0,0,0,1,1,1,1,0
"3","10.1002/eap.1434","Terrestrial","Birds","Vertebrate","Climate Change","yes",1,"Observational","Life History","Abiotic",0,1,0,1,1,1,0,1,1
"4","10.1002/eap.1530","Freshwater","Insects","Invertebrate","0","no",0,"Theoretical","Morphological","Dispersal",0,0,0,0,1,0,1,1,0
"5","10.1002/eap.1535/full","Terrestrial","Mammals","Vertebrate","Invasion","yes",0,"Observational","Behavioural","Abiotic",0,0,0,0,1,0,1,1,0
"6","10.1002/eap.1554/full","Freshwater","Multiple","Multiple","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,1,1,1,1,0
"7","10.1002/eap.1621","Freshwater","Multiple","Multiple","Global Change Broad","yes",0,"Observational","Behavioural","Abiotic",0,0,0,0,1,1,1,1,0
"8","10.1002/ece3.1084","Terrestrial","Other","Other","0","no",0,"Observational","Life History","Biotic",0,0,0,0,1,1,1,1,1
"9","10.1002/ece3.1260","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,1,1,0
"10","10.1002/ece3.1286","Terrestrial","Plants","Plants","Invasion","yes",0,"Experiment","Life History","Biotic",0,0,1,1,0,0,1,1,0
"11","10.1002/ece3.1395","Freshwater","Fish","Vertebrate","0","no",0,"Experiment","Physiological","Trophic",0,1,1,0,1,0,1,0,0
"12","10.1002/ece3.2081","Freshwater","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Biotic",0,0,0,0,1,0,0,1,0
"13","10.1002/ece3.2328","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,1,1,0
"14","10.1002/ece3.2606","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Biotic",0,0,0,0,0,1,0,1,0
"15","10.1002/ece3.263","Terrestrial","Herpetofauna","Vertebrate","Invasion","yes",0,"Experiment","Physiological","Abiotic",0,0,0,0,1,0,0,0,0
"16","10.1002/ece3.3068","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,1,1,0,0
"17","10.1002/ece3.3268","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,1,0,0,0,1,1,1,0
