"","DOI","Ecosystem","Taxonomic","TaxonomicGroup","GlobalChange","GlobalChangeCat","Predictive","TOS","TT","filter","distrubance tolerance","energy density","feeding mode","horizontal habitat","host characteristics","human disturbance","integument","larval/juvenile stage length","lipid","liver-free body","mortality","nitrogen","parasite traits","pollution tolerance","predation","pulp traits","rostrum","senescence","storage","stream size"
"3","10.1002/eap.1434","Terrestrial","Birds","Vertebrate","Climate Change","yes",1,"Observational","Behavioural","Abiotic",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6","10.1002/eap.1554/full","Freshwater","Multiple","Multiple","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7","10.1002/eap.1621","Freshwater","Multiple","Multiple","Global Change Broad","yes",0,"Observational","Physiological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"10","10.1002/ece3.1286","Terrestrial","Plants","Plants","Invasion","yes",0,"Experiment","Morphological","Biotic",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"12","10.1002/ece3.2081","Freshwater","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Biotic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"14","10.1002/ece3.2606","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","10.1002/ece3.3068","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"18","10.1002/ece3.3297","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"23","10.1002/ece3.4377","Terrestrial","Multiple","Multiple","0","no",0,"Review","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","10.1002/ece3.4896","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","10.1002/ece3.5121","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","10.1002/eco.1655","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"34","10.1002/ecs2.2164","Terrestrial","Plants","Plants","0","no",0,"Experiment","Life History","Biotic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"37","10.1002/ecs2.2374","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","10.1002/ecs2.2460","Marine","Multiple","Multiple","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","10.1002/ecy.1485","Freshwater","Multiple","Multiple","Invasion","yes",0,"Experiment","Morphological","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","10.1006/jaar.1998.0326","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Biotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","10.1007/BF00133308","Terrestrial","Birds","Vertebrate","Habitat Degredation","yes",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","10.1007/s00442-004-1650-z","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","10.1007/s00442-004-1770-5","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
