traits,coef_intercept,coef_gc_yes,deviance_explained,p_value
biogeographic.region,-6.45047042214453,2.3287268857343038,4.93314174111525,0.975
breeding.habitat,-5.757323241584251,1.9232617776258194,3.896638934070438,0.999
canopy,-3.742420221042017,-11.07309033692232,6.213530977685707,0.772
defense,-2.372932978238469,-1.055663377611803,6.746414712287901,0.673
diet,-1.7055382937809327,0.659569738598251,16.756255113140128,0.005
distribution,-14.815510558731837,10.288301914213449,5.944760046097713,0.888
disturbance.tolerance,-3.560098664248021,0.8246494889576937,4.081102287135423,0.999
fecundity,-1.6062833356855613,0.48027207282933837,5.376401107896982,0.9430000000000001
habitat,-2.81288426241781,1.0265156418246288,16.703334836566682,0.005
insularity,-14.815510558519682,10.288301914001309,5.944760046097638,0.895
integument,-4.052575149345798,-10.762935408618539,5.165924184609366,0.967
leaf.area,-1.1422027247429631,-0.820056562313881,12.538341313167166,0.036000000000000004
leaf.traits,-2.0810225696771663,-0.7414379826027744,5.877272995420299,0.917
life.history,-4.371028880464273,-10.444481677500063,4.101900631337529,0.996
managed.species,-14.815510557096697,11.541064881073682,18.006198572375524,0.001
migration,-4.147885329150203,1.3254247768702496,7.4268990587460735,0.558
morphometrics,-4.147885329150227,-10.66762522881411,5.127468289170537,0.975
mortality,-4.147885329150113,1.0069710457516436,3.8115316811471587,0.999
nitrogen,-1.7591225399150212,-0.5708615272671399,4.375455773475551,0.99
non.native,-4.841032509710362,2.105583334420018,8.725369770314103,0.373
range,-3.811413092528899,1.7265514833797357,19.068892144028553,0.001
reproductive.habitat,-6.450470422144403,2.32872688573418,4.933141741111825,0.981
reproductive.mode,-1.9506607518139072,0.7733561945701364,11.720733126618825,0.077
reproductive.structure,-2.1738043031280636,-1.6602571608303875,5.779569717993525,0.92
temperature.tolerance,-2.9539628606777155,0.911660865947341,8.400029374385667,0.41100000000000003
