Trait,DOI,Primary_classification,Secondary_classification
# of eggs or live young,10.1111/fwb.12228,life history,fecundity
# of reproductive cycles per individual,10.1111/j.1365-2427.1994.tb01755.x,life history,fecundity
# of reproductive cycles per year,10.1111/j.1365-2427.1994.tb01755.x,life history,fecundity
# of reproductive organs per year and individual,10.1111/jbi.13516,life history,fecundity
% of time spent moving,10.1111/j.1095-8312.2005.00465.x,activity,movement
% stationary position,10.1111/j.1095-8312.2005.00465.x,activity,movement
% time displaying,10.1111/j.1095-8312.2005.00465.x,activity,displaying
% water content,10.1111/ele.12532,composition,water
13C isotope ratio,10.1111/1365-2435.12075,composition,carbon
ability to enter brackish waters,10.1017/S0031182004005050,resource acquisition,salinity tolerance
ability to fix atmospheric nitrogen,10.1111/1365-2435.12784,resource acquisition,nitrogen
ability to fix N,10.1111/geb.12249,resource acquisition,nitrogen
ability to spread with many close ramets,10.2307/3547051,growth,NA
ability to survive desiccation,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,resource acquisition,desication tolerance
above ground biomass,10.1016/j.rse.2015.06.010,abundance,biomass
above ground biomass,10.2307/3547051,abundance,biomass
absence of silica demand,unknown_30,resource acquisition,silica requirement
abundance,10.1098/rspb.2000.1010,abundance,NA
accelerators,10.1111/ecog.03782,activity,movement
accessory pigment composition,10.1111/1365-2435.12784,morphology,resource acquisition
acidic tolerance,10.1111/jvs.12245,resource acquisition,pH tolerance
active dispersal,10.1111/j.1365-2656.2010.01660.x,activity,dispersal
activity,10.1111/j.1461-0248.2008.01255.x,activity,movement
activity,10.1111/faf.12155,activity,movement
activity duration,10.1111/ele.12081,activity,movement
activity hours,10.1242/jeb.059634,activity,movement
activity level,10.1186/s40462-017-0111-3,activity,movement
activity rate,10.1073/pnas.1802091115,activity,movement
activity timing,10.1371/journal.pbio.0020197,activity,movement
adaptable life cycle,10.2307/1467813,life history,life cycle
adaptation to anoxic conditions,10.1111/fwb.13233,resource acquisition,oxygen
adult ability to exit,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,activity,movement
adult body length,10.1002/eap.1621,morphology,size
adult body size,10.1111/bij.12238,morphology,size
adult body size,10.1093/ee/nvv183,morphology,size
adult depth range,10.1073/pnas.1304074110,habitat,vertical habitat
adult diet,10.1016/S0167-8809(01)00333-4,resource acquisition,diet
adult dispersal,10.1111/1752-1688.12650,activity,dispersal
adult drift,10.1139/cjfas-54-6-1211,activity,dispersal
adult female survival rate,10.1111/1365-2656.12144,survival,survival
adult flight period,10.1890/13-2036.1,activity,flight traits
adult flying strength,10.1111/1365-2656.12004,activity,flight traits
adult flying strength,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,activity,flight traits
adult habitat,10.1002/ecm.1297/full,habitat,NA
adult life span,10.1111/1752-1688.12650,life history,life span
adult life span,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,life history,life span
adult life stages,10.1038/s41559-017-0426-x,life history,life cycle
adult longevity,10.1111/j.1365-2656.2010.01660.x,life history,life span
adult mass,10.1111/oik.00707,morphology,size
adult mobility,10.7717/peerj.5038,morphology,mobility
adult persistence,10.1111/j.0030-1299.2005.13632.x,survival,persistence
adult size,10.1002/ecs2.2460,morphology,size
adult survival,10.1111/j.2007.0906-7590.05090.x,survival,survival
adult survival,10.1111/j.1365-2656.2012.02015.x,survival,survival
adult survival rate,10.1093/beheco/ars040,survival,survival
adult survival rates,10.1002/eap.1434,survival,survival
adult trophic guild,10.1111/geb.12475,resource acquisition,diet
aerodynamic index,10.1111/geb.12148,activity,flight traits
aerodynamic index,10.1111/j.1461-0248.2010.01493.x,activity,flight traits
aerotopes,10.1016/j.ecolind.2017.12.003,morphology,storage
aerotypes,unknown_30,morphology,storage
affinity to different freshwater bodies,10.1111/geb.12475,habitat,water body preference
after-ripening,10.1111/jvs.12375,activity,dormancy
age,10.1111/1365-2656.12271,life history,age
age,unknown_8,life history,age
age,10.1111/evo.12518,life history,age
age,10.1111/jeb.12717,life history,age
age,10.1111/1365-2745.12604,life history,age
age at 50% maturity,10.1111/1365-2656.12274,life history,age/size at maturity
age at first breeding,10.1002/eap.1434,life history,age/size at maturity
age at first flowering,10.1002/ece3.3268,life history,age/size at maturity
age at first maturity,10.1002/eap.1621,life history,age/size at maturity
age at first reproduction,10.1093/beheco/ars040,life history,age/size at maturity
age at first reproduction,10.1016/j.anbehav.2005.05.010,life history,age/size at maturity
age at maturation,10.3354/meps09086,life history,age/size at maturity
age at maturation,unknown_17,life history,age/size at maturity
age at maturation,10.1139/cjfas-2015-0190,life history,age/size at maturity
age at maturation,10.1371/journal.pone.0093237,life history,age/size at maturity
age at maturity,10.1111/jbi.12946,life history,age/size at maturity
age at maturity,10.1111/1365-2656.12603,life history,age/size at maturity
age at maturity,10.1111/j.1600-0633.2010.00465.x,life history,age/size at maturity
age at maturity,10.1111/1365-2656.12838,life history,age/size at maturity
age at maturity,10.1002/ece3.1084,life history,age/size at maturity
age at maturity,10.1111/ddi.12747,life history,age/size at maturity
age at maturity,10.1017/S0952836900001084,life history,age/size at maturity
