DOI,Year,Relevant to Study,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Trait Types,Fundamental,Physical,Ecological,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change Driver
10.1002/ajp.22216,2014,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ajp.22374,2015,Y,1,0,0,0,1,0,Multiple,Terrestrial,Mammals,Tropical Rainforest,0,1,0,0,1,Multiple,1,0,0,0,Single,0,0
10.1002/ajpa.1330950203,1994,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/aqc.1198,2011,Y,0,0,0,0,1,0,Single,Freshwater,Fish,Lake,0,1,0,1,1,Multiple,0,0,1,0,Single,0,Invasion
10.1002/eap.1434,2017,Y,0,0,0,0,1,0,Single,Terrestrial,Birds,Polar,0,0,0,1,1,Multiple,1,0,0,0,Single,1,Climate Change
10.1002/eap.1530,2017,Y,0,1,0,0,0,1,Multiple,Freshwater,Insects,Stream,1,1,1,1,1,Multiple,1,1,0,0,Multiple,0,0
10.1002/eap.1535/full,2017,Y,0,1,0,0,0,0,Observational,Terrestrial,Mammals,Grassland,0,0,0,1,1,"Life History, Behavioural",1,0,0,0,E,0,Invasion
10.1002/eap.1554/full,2017,Y,0,0,0,0,1,0,Single,Freshwater,Broad,Stream,0,1,0,1,1,Multiple,1,0,0,0,Single,0,0
10.1002/eap.1621,2017,Y,0,0,0,0,1,0,Single,Freshwater,Multiple,River,1,1,0,1,1,Multiple,1,0,0,0,Single,0,Global Change Broad
10.1002/ece3.1084,2014,Y,0,0,0,0,1,0,Q Model,Terrestrial,Other,Broad,1,1,0,1,1,"Morphological, Life History, Behavioural",1,0,1,0,T,0,0
10.1002/ece3.1251,2014,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ece3.1260,2014,Y,0,1,0,0,0,0,Single,Freshwater,Fish,Pond,0,1,0,0,0,Single,1,0,1,1,Multiple,0,0
10.1002/ece3.1286,2014,Y,0,0,1,0,0,0,Experiment,Terrestrial,Plants,Wetland,1,1,1,1,0,"Morphological, Physiological, Life History",0,0,1,0,E,0,Invasion
10.1002/ece3.1395,2015,Y,0,0,1,0,0,0,Experiment,Freshwater,Fish,River,1,0,1,0,1,"Physiological, Behavioural",0,0,0,1,T,0,0
10.1002/ece3.1460,2015,N,,,,,,,Multiple,,,,0,,,,,Multiple,,,,,Multiple,,
10.1002/ece3.2081,2016,Y,0,1,0,0,0,0,Single,Freshwater,Insects,Stream,0,0,0,1,1,Multiple,1,0,1,0,Multiple,0,0
10.1002/ece3.2328,2016,Y,0,1,0,0,1,0,Multiple,Freshwater,Fish,River,0,1,0,0,1,Multiple,1,0,1,0,Multiple,0,0
10.1002/ece3.2495,2016,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ece3.2606,2016,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Tropical Rainforest,0,0,0,0,1,Behavioural,1,0,1,1,T,0,0
10.1002/ece3.263,2012,Y,0,1,1,0,1,0,Multiple,Terrestrial,Herps,Tropical Rainforest,1,0,0,1,0,Single,1,0,0,0,Single,0,Invasion
10.1002/ece3.2765,2017,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ece3.2780,2017,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ece3.3068,2017,Y,0,1,0,0,0,0,Single,Terrestrial,Plants,Alpine,0,1,0,0,0,Single,1,0,0,0,Single,0,0
10.1002/ece3.3102,2017,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ece3.3268,2017,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Grassland,0,1,0,1,0,"Morphological, Life History",0,0,1,0,E,0,0
10.1002/ece3.3297,2017,Y,0,1,0,0,0,0,Single,Terrestrial,Plants,Temperate Forest,1,1,0,1,0,Multiple,1,0,0,0,Single,0,0
10.1002/ece3.3472,2017,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ece3.3541,2018,Y,0,1,0,0,1,0,Multiple,Terrestrial,Plants,Desert,0,1,0,0,0,Single,1,0,0,0,Single,0,0
10.1002/ece3.3609,2018,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Grassland,0,1,0,1,0,"Morophological, Life History",1,0,1,0,E,0,0
10.1002/ece3.3613,2017,Y,0,1,0,0,0,0,Observational,Terrestrial,Mammals,Alpine,0,1,0,0,1,"Morphological, Behavioural",1,0,0,0,F,0,0
10.1002/ece3.3969,2018,Y,0,1,0,0,0,0,Observational,Marine,Broad,Coral Reef,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
