TI,AB,DOI,PY,PT,AU,SO,Relevance,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,Trait Types,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Fundamental,Physical,Ecological,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change,Global Change Driver,AdditionalReviewNeeded,ReviewerNotes,ReviewedBy
A global ocean atlas of eukaryotic genes,"While our knowledge about the roles of microbes and viruses in the ocean has increased tremendously due to recent advances in genomics and metagenomics, research on marine microbial eukaryotes and zooplankton has benefited much less from these new technologies because of their larger genomes, their enormous diversity, and largely unexplored physiologies. Here, we use a metatranscriptomics approach to capture expressed genes in open ocean Tara Oceans stations across four organismal size fractions. The individual sequence reads cluster into 116 million unigenes representing the largest reference collection of eukaryotic transcripts from any single biome. The catalog is used to unveil functions expressed by eukaryotic marine plankton, and to assess their functional biogeography. Almost half of the sequences have no similarity with known proteins, and a great number belong to new gene families with a restricted distribution in the ocean. Overall, the resource provides the foundations for exploring the roles of marine eukaryotes in ocean ecology and biogeochemistry.",10.1038/s41467-017-02342-1,2018,J,"Carradec, Q; Pelletier, E; Da Silva, C; Alberti, A; Seeleuthner, Y; Blanc-Mathieu, R; Lima-Mendez, G; Rocha, F; Tirichine, L; Labadie, K; Kirilovsky, A; Bertrand, A; Engelen, S; Madoui, MA; Meheust, R; Poulain, J; Romac, S; Richter, DJ; Yoshikawa, G; Dimier, C; Kandels-Lewis, S; Picheral, M; Searson, S; Jaillon, O; Aury, JM; Karsenti, E; Sullivan, MB; Sunagawa, S; Bork, P; Not, F; Hingamp, P; Raes, J; Guidi, L; Ogata, H; de Vargas, C; Iudicone, D; Bowler, C; Wincker, P",NATURE COMMUNICATIONS,0,,,,,,,,,,,,,,,,,,,,,,,,,"Note: approach to approximating and measuring community, but not linking traits to environmental filtering. COLE: agree with not relevant classification",,CB
Community trait structure in phytoplankton: seasonal dynamics from a method for sparse trait data,"The distribution of functional traits in communities, and how trait distributions shift over time and space, is critical information for understanding community structure, the maintenance of diversity, and community effects on ecosystem function. It is often the case that traits tightly linked to ecological performance, such as physiological capacities, are laborious to measure and largely unknown for speciose communities; however, these traits are particularly important for unraveling the mechanistic basis of community structure. Here I develop a method combining sparse trait data with a statistical niche model to infer trait distributions for phytoplankton communities and how they vary over 10 yr in the western English Channel. I find that community-average nitrate affinity, light-limited growth rate, and maximum growth rate all show major seasonal patterns, reflecting alternate limitation by light vs. nitrogen. Trait diversity exhibits a variety of patterns distinct from community trait means, which suggests complex regulation of functional diversity. Patterns such as these are important for predicting how ocean ecosystems will respond to global change, and for developing trait-based models of emergent community structure. The statistical approach used here could be applied to any kind of organism, if it exhibits strong relationships between traits and statistical niche estimates.",10.1002/ecy.1581,2016,J,"Edwards, KF",ECOLOGY,1,0,1,0,0,1,0,observational,marine,phytoplankton,temperate Eastern Atlantic Ocean,specific nitrate affinity; light?limited growth ability; maximum growth rate,1,0,1,0,0,1,0,1,0,0,0,0,0,,,CB
"Australian Tropical and Subtropical Rain Forest Community Assembly: Phylogeny, Functional Biogeography, and Environmental Gradients","To compare community assemblage patterns in tropical northeastern and subtropical central eastern Australia across selected gradients and scales, we tested the relationship of species traits with phylogenetic structure, and niche breadth. We considered phylogenetic relationships across current-day species in assemblages in relation to rain forest species pool sizes, and trait values along gradients including elevation and latitude. Trait values were quantified across scales for seed size, leaf area, wood density and maximum height at maturity for 1137 species and 596 assemblages using trait gradient analysis (TGA). Local assemblages of subtropical species had narrower trait ranges, and higher niche breadth values than corresponding assemblages of tropical species. Leaf size and seed size increased at low latitudes, and community phylogenetic structure was most strongly correlated with seed traits in the subtropics, reflecting dispersal and re-colonization processes. Elevation accounted for little of the variance in community phylogenetic structure or trait variation across local and regional scales. Stable moist forest areas retained many species from ancestral rain forest lineages across a range of temporally conserved habitats; species within assemblages were less related; and rain forest assemblages had higher functional diversity, but lower niche breadth. This suggests that on average, assemblages of species in stable areas had greater trait variation and narrower distributions. Historic and recent rain forest contraction and re-expansion can result in recolonized areas that are dominated by species that are more related (phylogenetically) than by chance, have smaller, widely dispersed seeds, and greater niche breadth (broader distributions).",10.1111/j.1744-7429.2012.00861.x,2012,J,"Kooyman, R; Rossetto, M; Allen, C; Cornwell, W",BIOTROPICA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,CB
BHPMF-a hierarchical Bayesian approach to gap-filling and trait prediction for macroecology and functional biogeography,"Aim Functional traits of organisms are key to understanding and predicting biodiversity and ecological change, which motivates continuous collection of traits and their integration into global databases. Such trait matrices are inherently sparse, severely limiting their usefulness for further analyses. On the other hand, traits are characterized by the phylogenetic trait signal, trait-trait correlations and environmental constraints, all of which provide information that could be used to statistically fill gaps. We propose the application of probabilistic models which, for the first time, utilize all three characteristics to fill gaps in trait databases and predict trait values at larger spatial scales. Innovation For this purpose we introduce BHPMF, a hierarchical Bayesian extension of probabilistic matrix factorization ( PMF). PMF is a machine learning technique which exploits the correlation structure of sparse matrices to impute missing entries. BHPMF additionally utilizes the taxonomic hierarchy for trait prediction and provides uncertainty estimates for each imputation. In combination with multiple regression against environmental information, BHPMF allows for extrapolation from point measurements to larger spatial scales. We demonstrate the applicability of BHPMF in ecological contexts, using different plant functional trait datasets, also comparing results to taking the species mean and PMF. Main conclusions Sensitivity analyses validate the robustness and accuracy of BHPMF: our method captures the correlation structure of the trait matrix as well as the phylogenetic trait signal-also for extremely sparse trait matrices-and provides a robust measure of confidence in prediction accuracy for each missing entry. The combination of BHPMF with environmental constraints provides a promising concept to extrapolate traits beyond sampled regions, accounting for intraspecific trait variability. We conclude that BHPMF and its derivatives have a high potential to support future trait-based research in macroecology and functional biogeography.",10.1111/geb.12335,2015,J,"Schrodt, F; Kattge, J; Shan, HH; Fazayeli, F; Joswig, J; Banerjee, A; Reichstein, M; Bonisch, G; Diaz, S; Dickie, J; Gillison, A; Karpatne, A; Lavorel, S; Leadley, P; Wirth, CB; Wright, IJ; Wright, SJ; Reich, PB",GLOBAL ECOLOGY AND BIOGEOGRAPHY,0,,,,,,,,,,,,,,,,,,,,,,,,,Note: methods paper,COLE: Agree with this not relevant classification,CB
Geographical Patterns of Functional Diversity of South American Anurans,"A critical step in designing efficient spatial prioritization plans is to find the best network of sites that preserve multiple biodiversity facets. Conservation biogeography has increasingly been using functional diversity (FD) as an alternative metric to describe how trait diversity is distributed throughout space. FD can be promptly related to the function played by species in a community, better than taxonomic diversity. Here, we mapped multiple dimensions of functional diversity of South American anurans that describe functional richness (FRich), evenness (FEve), dispersion (FDis), and rarity (Frar) at the regional scale, as well as geographical restrictiveness and body size. FRich was higher in the Amazon basin, Guianas, Tropical Andes, and the central portion of the Atlantic Forest, whereas lower values appear in Patagonia and the Atacama Desert. FEve and FDis were homogeneously distributed throughout the continent, with lowest values in southern Patagonia, Pacific slope of the southern Tropical Andes, and Atacama Desert, while the highest values were found in the Atlantic slope of the southern Tropical Andes. Patterns of functional distinctiveness and uniqueness were similar and highlighted northwestern Argentina and areas with many endemic and functionally unique species. Frar at the regional scale highlighted the Andes, Patagonia, and the Atlantic Forest.",10.1007/978-3-030-26296-9_5,2019,B,"Vasconcelos, TS; da Silva, FR; dos Santos, TG; Prado, VHM; Provete, DB",BIOGEOGRAPHIC PATTERNS OF SOUTH AMERICAN ANURANS,1,0,1,0,0,1,0,observational,terrestrial,herpetofauna,multiple in South America,maximum body size; habitat type; larval development mode,0,1,0,1,1,1,0,1,0,0,0,0,0,,,CB
Scaling from Traits to Ecosystems: Developing a General Trait Driver Theory via Integrating Trait-Based and Metabolic Scaling Theories,"Aim: More powerful tests of biodiversity theories need to move beyond species richness and explicitly focus on mechanisms generating diversity via trait composition. The rise of trait-based ecology has led to an increased focus on the distribution and dynamics of traits across broad geographic and climatic gradients and how these distributions influence ecosystem function. However, a general theory of trait-based ecology, that can apply across different scales (e.g. species that differ in size) and gradients (e.g. temperature), has yet to be formulated. While research focused on metabolic and allometric scaling theory provides the basis for such a theory, it does not explicitly account for differences in traits within and across taxa, such as variation in the optimal temperature for growth. Here we synthesize trait-based and metabolic scaling approaches into a framework that we term 'Trait Driver Theory' or TDT. It shows that the shape and dynamics of trait and size distributions can be linked to fundamental drivers of community assembly and how the community will respond to future drivers. To assess predictions and assumptions of TDT, we review several theoretical studies and recent empirical studies spanning local and biogeographic gradients. Further, we analyze how the shift in trait distributions influences ecosystem processes across an elevational gradient and a 140-year-long ecological experiment. We show that TDT provides a baseline for (i) recasting the predictions of ecological theories based on species richness in terms of the shape of trait distributions and (ii) integrating how specific traits, including body size, and functional diversity then 'scale up' to influence ecosystem functioning and the dynamics of species assemblages across climate gradients. Further, TDT offers a novel framework to integrate trait, metabolic/allometric, and species-richness-based approaches to better predict functional biogeography and how assemblages of species have and may respond to climate change.",10.1016/bs.aecr.2015.02.001,2015,S,"Enquist, BJ; Norberg, J; Bonser, SP; Violle, C; Webb, CT; Henderson, A; Sloat, LL; Savage, VM","ADVANCES IN ECOLOGICAL RESEARCH, VOL 52: TRAIT-BASED ECOLOGY - FROM STRUCTURE TO FUNCTION",1,1,1,0,0,1,0,observational,terrestrial,plants,"Co, USA; sagebrush scrub and alpine forest",SLA,0,1,0,0,0,1,0,0,0,0,0,0,0,,,CB
Conservation assessment of the Peruvian Andes and Amazon based on mapped forest functional diversity,"Ongoing tropical deforestation and forest degradation, combined with climate change, call for improved forest functional and biological diversity mapping to support increasingly tactical decision-making for conservation action. We combine a new map of forest canopy functional and biological composition with extensive protected area and indigenous land allocation data to quantify current protections and opportunities for new protections throughout the Peruvian Andes and Amazon region, a global biodiversity hotspot. The analysis is based on a map of 36 distinct Forest Functional Classes (FFC) covering > 76 million ha of forest at 1-ha spatial resolution. We find that while 42.6% of forests are under some form of protection, the percentage of protections applied to any particular FFC ranges from 20% to 69%. Under-represented FFCs are in the submontane and montane Andes, and in the northwestern Amazonian lowlands. Nationally-administered protections are uneven across the 36 FFCs, and regionally- and locally-administered protections are biased to relatively few mapped forest classes. Indigenous lands contain a relatively even distribution of FFC protections, providing the most FFC protection per unit forest area in Peru. Without the current portfolio of indigenous lands, the network of nationally-, regionally-, and locally-administered protected areas would greatly under-represent multiple functionally and biologically distinct FFCs throughout Peru. Mapping canopy functional diversity can support tactical approaches to protect a wider variety of forest types in a time of rapid environmental change.",10.1016/j.biocon.2017.04.008,2017,J,"Asner, GP; Martin, RE; Tupayachi, R; Llactayo, W",BIOLOGICAL CONSERVATION,1,0,1,0,0,1,0,observational,terrestrial,plants,tropical forests globally,foliar N; foliar water; leaf mass per unit area; foliar defense compounds; foliar P; foliar CA,1,1,1,0,0,1,0,1,0,0,0,0,0,,,CB
Common latitudinal gradients in functional richness and functional evenness across marine and terrestrial systems,"Functional diversity s an important aspect of biodiversity, but its relationship to species diversity in time and space is poorly understood. Here we compare spatial patterns of functional and taxonomic diversity across marine and terrestrial system, to identify commonalities in their respective ecological and evolutionary drivers. We placed species-level ecological traits into comparable multi-dimensional frameworks for two model systems, marine bivalves and terrestrial birds, and used global species-occurrence data to examine the distribution of functional diversity with latitude and longitude. In both systems, tropical faunas show high total functional richness (FR) but low functional evenness (FE) (i.e. the tropics contain a highly skewed distribution of species among functional groups). Functional groups that persist toward the poles become more uniform in species richness, such that FR declines and FE rises with latitude in both systems. Temperate assemblages are more functionally even than tropical assemblages subsampled to temperate levels of species richness, suggesting that high species richness in the tropics reflects a high degree of ecological specialisation within a few functional groups and /or factors that favour high recent speciation or reduced extinction rates in those groups.",10.1098/rspb.2019.0745,2019,J,"Schumm, M; Edie, SM; Collins, KS; Gomez-Bahamon, V; Supriya, K; White, AE; Price, TD; Jablonski, D",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0,,,,,,,,,,,,,,,,,,,,,,,,,"Note: patterns of evenness and richness in FD, rather than trait-based relationships with filtering","COLE: agree, they use traits, but then create their functional groups from those traits which I don't think is in line with our premise of traits individually AND as groups being filtered",CB
Community weighted mean trait data of Italian forest understories,"Plant functional trait data aggregated at the community level (i.e., community weighted mean, CWM) are fundamental to study plant-environment relationships. Here, we provide a large database of CWM values of twelve traits reflecting several plant functions, including leaf, seed, whole-plant, clonal and bud bank traits. The CWMs were calculated in 201 forest stands (a statistically representative sample of all the Italian forests) across three biogeographic regions: Alpine, Continental, and Mediterranean. (C) 2019 The Author(s). Published by Elsevier Inc.",10.1016/j.dib.2019.104947,2020,J,"Chelli, S; Ottaviani, G; Campetella, G; Canullo, R",DATA IN BRIEF,1,0,1,0,0,0,0,observational,terrestrial,plants,forests in Italy,SLA; LDMC; seed mass; seed releasing height; conopy height; clonality; belowground clonal growth organ; length of connections between ramets; lateral spread; bud protection; large bud bank; belowground perennial bud bank,1,1,1,1,0,1,1,1,0,0,0,0,0,,,CB
Large-scale biogeographical patterns of bacterial antibiotic resistome in the waterbodies of China,"Antibiotic resistance genes (ARGs) are widespread in aquatic environments, but we know little about their biogeographical distribution and occurrence at national scales. Here we analyzed the patterns of ARGs from 42 natural waterbodies (natural lakes and reservoirs) across China using high-throughput approaches. The major ARGs were multidrug genes and the main resistance mechanism was the efflux pump. Although the absolute abundance of ARGs (gene copies/L) in the south/central waterbodies was similar to the northern waterbodies, the normalized abundance of ARGs (ARGs/16S rRNA gene copy number) was higher in the south/central waterbodies than in the north (mainly because of the aminoglycoside and multidrug resistance genes). Human activities strongly correlated with the normalized abundance of ARGs. The composition of ARGs in the waterbodies of south/central China was different from that in the north, and ARGs showed a distance-decay relationship. Anthropogenic factors had the most significant effects on this spatial distribution of ARG composition, followed by the spatial, bacterial and physicochemical factors. These indicate that the ARGs exhibited biogeographical patterns and that multiple ecological mechanisms - such as environmental selection (human activities and local physicochemical parameters) and dispersal limitation - influence distribution of ARGs in these waters. In general, our results provide a valuable ecological insight to explain the large-scale dispersal patterns in ARGs, thereby having potential applications for both public health and environmental management.",10.1016/j.envint.2018.05.023,2018,J,"Liu, LM; Su, JQ; Guo, YY; Wilkinson, DM; Liu, ZW; Zhu, YG; Yang, J",ENVIRONMENT INTERNATIONAL,1,0,1,0,0,1,0,observational,freshwater,bacteria,multiple (lake and reservoir),antibiotic resistant genes,1,0,1,0,0,0,0,1,0,0,0,0,0,,,CB
