Author,Year,Title,Journal,Abstract,DOI,Relevant to Study,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Trait Types,Trait Diversity,Fundamental,Physical,Ecological,IntraspecificTraits,InterspecificTraits,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change Driver,Comparison Btwn Approaches,Further Review,Into Text,Went Into Text,Notes,
"Abadi, Fitsum; Barbraud, Christophe; Gimenez, Olivier",2017,Integrated population modeling reveals the impact of climate on the survival of juvenile emperor penguins,GLOBAL CHANGE BIOLOGY,"Early-life demographic traits are poorly known, impeding our understanding of population processes and sensitivity to climate change. Survival of immature individuals is a critical component of population dynamics and recruitment in particular. However, obtaining reliable estimates of juvenile survival (i.e., from independence to first year) remains challenging, as immatures are often difficult to observe and to monitor individually in the field. This is particularly acute for seabirds, in which juveniles stay at sea and remain undetectable for several years. In this work, we developed a Bayesian integrated population model to estimate the juvenile survival of emperor penguins (Aptenodytes forsteri), and other demographic parameters including adult survival and fecundity of the species. Using this statistical method, we simultaneously analyzed capture-recapture data of adults, the annual number of breeding females, and the number of fledglings of emperor penguins collected at Dumont d'Urville, Antarctica, for the period 1971-1998. We also assessed how climate covariates known to affect the species foraging habitats and prey [southern annular mode (SAM), sea ice concentration (SIC)] affect juvenile survival. Our analyses revealed that there was a strong evidence for the positive effect of SAM during the rearing period (SAMR) on juvenile survival. Our findings suggest that this large-scale climate index affects juvenile emperor penguins body condition and survival through its influence on wind patterns, fast ice extent, and distance to open water. Estimating the influence of environmental covariates on juvenile survival is of major importance to understand the impacts of climate variability and change on the population dynamics of emperor penguins and seabirds in general and to make robust predictions on the impact of climate change on marine predators.",10.1111/gcb.13538,Y,0,0,0,0,1,0,Q Model,Marine,Birds,Tundra,0,0,0,1,0,Life History,1,1,0,0,,,0,F,0,Climate Change,0,1,1,1,"Traits Used = fecundity, juvenile survival, number of breeding pairs. **I put F because I couldn't think of how these traits would confer information that would give us anything more than this - do we think this paper is relevant given that I can't see any connection of these traits to actual environmental filtering? To me it's just saying 'here's how big the population is' and nothing about any type of niche",
"Abgrall, C; Chauvat, M; Langlois, E; Hedde, M; Mouillot, D; Salmon, S; Winck, B; Forey, E",2017,Shifts and linkages of functional diversity between above- and below-ground compartments along a flooding gradient,FUNCTIONAL ECOLOGY,"1. Trait-based approaches have the potential to reveal general and predictive relationships between organisms and ecosystem functioning. However, the mechanisms underlying the functional structure of communities are still unclear. Within terrestrial ecosystems, several studies have shown that many ecological processes are controlled by the interacting above-and belowground compartments. However, few studies have used traits to reveal the functional relationships between plants and soil fauna. Mostly, research combining plants and soil fauna solely used the traits of one assemblage in predictive studies. 2. Above-ground (plants) and below-ground (Collembola) compartments were sampled over a flooding gradient in northern France along the Seine River. First, we measured the effect of flooding on functional and taxonomic assembly within both communities. We then considered the linkages between plant and Collembolan species richness, community traits and assessed whether traits of both compartments converged at high flooding intensity (abiotic filtering) and diverged when this constraint is released (biotic filtering). 3. Species richness of both taxa followed the same bell-shaped pattern along the gradient, while a similar significant pattern of functional richness was only observed for plants. Further analyses revealed a progressive shift from trait convergence to divergence for plants, but not for Collembola, as constraints intensity decreased. Instead, our results highlighted that Collembola traits were mainly linked to the variations in plant traits. This leads, within Collembola assemblages, to convergence of a subset of perception and habitat-related traits for which the relationship with plant traits was assessed. 4. Synthesis. Using a trait-based approach, our study highlighted that functional relationships occur between above-and below-ground compartments. We underlined that functional composition of plant communities plays a key role in structuring Collembola assemblages in addition to the role of abiotic variables. Our study clearly shows that functional diversity provides a new approach to link the above-and below-ground compartments and might, therefore, be further considered when studying ecological processes at the interface between both compartments.",10.1111/1365-2435.12718,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Temperate Forest,1,1,1,1,0,"Morphological, Physiological, Life History",3,0,0,1,,,0,E,0,0,1,0,1,,"*Looked at functional traits and taxonomic assembly. Traits = leaf texture, raunkier's life-forms (chamaephyte vs. helophytes, vs geophytes), species reproduction type, Grimes plant strategies (competitor, stress tolerator etc.), leaf area, leaf N content, leaf dry matter content, plant vegetative height, seed dry mass, ellenberg's value for salt tolerance",
"Abrams, PA",2019,How Does the Evolution of Universal Ecological Traits Affect Population Size? Lessons from Simple Models,AMERICAN NATURALIST,"This article argues that adaptive evolutionary change in a consumer species should frequently decrease (and maladaptive change should increase) population size, producing adaptive decline. This conclusion is based on analysis of multiple consumer-resource models that examine evolutionary change in consumer traits affecting the universal ecological parameters of attack rate, conversion efficiency, and mortality. Two scenarios are investigated. In one, evolutionary equilibrium is initially maintained by opposing effects on the attack rate and other growth rate parameters; the environment or trait is perturbed, and the trait then evolves to a new (or back to a previous) equilibrium. Here evolution exhibits adaptive decline in up to one-half of all cases. The other scenario assumes a genetic perturbation having purely fitness-increasing effects. Here adaptive decline in the consumer requires that the resource be self-reproducing and overexploited and requires a sufficient increase in the attack rate. However, if the resource exhibits adaptive defense via behavior or evolution, adaptive decline may characterize consumer traits affecting all parameters. Favorable environmental change producing parameter shifts similar to those produced by adaptive evolution has similar counterintuitive effects on consumer population size. Many different food web models have already been shown to exhibit such counterintuitive changes in some species.",10.1086/703155,Y,0,0,0,0,0,0,T Model,Broad,Broad,Broad,0,0,0,1,1,"Behavioural, Life History",2,0,0,0,,,1,T,0,0,0,0,1,,"traits = attack rate, conversion efficiency, mortality",
"Abrams, PA",2012,THE ECO-EVOLUTIONARY RESPONSES OF A GENERALIST CONSUMER TO RESOURCE COMPETITION,EVOLUTION,"This article explores the combined evolutionary and ecological responses of resource uptake abilities in a generalist consumer to exploitative competition for one resource using a simple 2-resource model. It compares the sizes of ecologically and evolutionarily caused changes in population densities in cases where the original consumer has a strong or a weak trade-off in its abilities to consume the two resources. The analysis also compares the responses of the original species to competition when the competitor's population size is or is not limited by the shared resource. Although divergence in resource use traits in the resident generalist consumer is expected under all scenarios when resources are substitutable, the changes in population densities of the resources and resident consumer frequently differ between scenarios. The population of the original consumer often decreases as a result of its own adaptive divergence, and this decrease is often much greater than the initial ecological decrease. If the evolving consumer has a strong trade-off, the overlapped resource increases in equilibrium population density in response to being consumed by a generalist competitor. Some of these predictions differ qualitatively in alternative scenarios involving sustained variation in population densities or nutritionally essential resources.",10.1111/j.1558-5646.2012.01659.x,N,0,0,0,0,0,0,T Model,Broad,Broad,Broad,0,,,,,NA,NA,0,0,0,,,0,NA,0,0,0,1,0,,"Not applicable to our study IMO, but curious to get a second opinion",
"ABRAMS, PA; MATSUDA, H",1994,THE EVOLUTION OF TRAITS THAT DETERMINE ABILITY IN COMPETITIVE CONTESTS,EVOLUTIONARY ECOLOGY,"We analyse mathematical models of the evolution of a trait that determines ability in contest competition. We assume that the value of the competitive trait affects two different components of fitness, one measuring the benefit of winning contests and the other measuring the cost of developing the competitive trait. Unlike previous analyses, we include the population dynamical consequences of larger competitive trait values. Exaggeration of the competitive trait reduces the mean probability of survival during the non-competitive stage of the life cycle. The resulting lower population density reduces competition and, therefore, reduces the advantages of greater competitive ability. Models without population dynamics often predict dimorphism in the competitive trait when resource possession is decided by interactions with many other individuals. If the competition involves a contest with a single other individual, models without population dynamics often predict cycles of increase and collapse in the trait or a continual increase, possibly resulting in extinction. When population dynamics are included, both of these results become less likely and a single stable trait value becomes more likely. Population dynamics also make it possible to have dimorphism when individuals have a single pairwise contest and alternative stable trait values when an individual has many contests. Increases in the value of the resource being contested may increase or decrease the evolutionarily stable size of the trait. Competition between very differently sized species will often decrease size in the larger species (character convergence).",10.1007/BF01237849,N,,,,,,,,,,,0,,,,,,,0,0,0,,,0,,,,,,0,,,
"ABRAMS, PA; MATSUDA, H; HARADA, Y",1993,EVOLUTIONARILY UNSTABLE FITNESS MAXIMA AND STABLE FITNESS MINIMA OF CONTINUOUS TRAITS,EVOLUTIONARY ECOLOGY,"We present models of adaptive change in continuous traits for the following situations: (1) adaptation of a single trait within a single population in which the fitness of a given individual depends on the population's mean trait value as well as its own trait value; (2) adaptation of two (or more) traits within a single population; (3) adaptation in two or more interacting species. We analyse a dynamic model of these adaptive scenarios in which the rate of change of the mean trait value is an increasing function of the fitness gradient (i.e. the rate of increase of individual fitness with the individual's trait value). Such models have been employed in evolutionary game theory and are often appropriate both for the evolution of quantitative genetic traits and for the behavioural adjustment of phenotypically plastic traits. The dynamics of the adaptation of several different ecologically important traits can result in characters that minimize individual fitness and can preclude evolution towards characters that maximize individual fitness. We discuss biological circumstances that are likely to produce such adaptive failures for situations involving foraging, predator avoidance, competition and coevolution. The results argue for greater attention to dynamical stability in models of the evolution of continuous traits.",10.1007/BF01237642,N,,,,,,,,,,,0,,,,,,,0,0,0,,,0,,,,,,0,,,
"ABTS, ML",1987,"ENVIRONMENT AND VARIATION IN LIFE-HISTORY TRAITS OF THE CHUCKWALLA, SAUROMALUS-OBESUS",ECOLOGICAL MONOGRAPHS,"Life history attributes for the western chuckwalla, Sauromalus obesus, and environmental variables, e.g., rainfall and vegetational growth, were recorded simultaneously during a 7—yr investigation in the Colorado desert of southeastern California. The timing of rainfall was most critical to the growth of annual plants, and the standing crop of winter annuals was greatest when substantial rainfall occurred early (October—January). Chuckwallas preferred to eat winter annuals during the spring. However, broad and opportunistic feeding habits were observed, and the persistence of relatively mild winters and frequent summer rainfall enabled individuals to feed throughout most of the year. Males typically achieved reproductive maturity at 125 mm snout—vent length (SVL) and 2 yr of age. Females achieved reproductive maturity at 125 mm SVL and 2—3 yr only when optimal environmental conditions prevailed. Clutch size was highly correlated with body size, and the mean for the study period was 6.9 eggs. Mean values for other reproductive attributes were: egg mass, 8.4 g; relative clutch mass (RCM), 0.343; and expenditure per progeny (EPP), 0.053. Clutch size, egg mass, RCM, and EPP did not differ significantly among years for a given body size. Mean annual frequency of reproduction was 52%, but ranged from 0 to 95% during the study period. Mean 1st—yr survivorship was 38% but showed considerable year—to—year variability. Egg mortality had the greatest impact on 1st—yr survivorship. Mean survivorship for chuck—wallas older than 1 yr approached 75% and values for males and females were not significantly different. Adults of both sexes appeared to be considerably more susceptible to predation after achieving 165 mm SVL. Consequently, large adult individuals were never common. Annual recruitment was 20% and was largely the result of reproduction. Population densities showed nearly a twofold annual variation, ranging from 15 to 30 individuals/ha. Life table analysis showed that younger females (3—6 yr) contributed to 50% of the replacement rate; mean generation time was 8.2 yr, and the life expectancy was ≈15 yr. Year—to—year consistency of various reproductive attributes (clutch size, egg mass, and RCM), indicative of ""boom or bust"" iteroparity, is possibly a typical adaption for extremely long—lived lizard species. Relatively mild winters and occurrence of summer rainfall in the Colorado desert greatly promoted early maturity and frequent reproductions. In addition, summer rainfall improved the survivorship of eggs, probably by providing adequate moisture for incubation. Such conditions were responsible for relatively high densities and predation rates. However, under drier conditions maturity was delayed, reproduction less frequent, and egg survivorship much lower; such conditions are typical in the Mojave desert. The relative stability of clutch size, egg mass, and RCM, but apparent variability of age at reproductive maturity and reproductive frequency in this study, may indicate that the life history of chuckwallas evolved under a variable but predictable environmental setting.",10.2307/2937081,Y,0,1,0,0,0,0,Observational,Terrestrial,Herps,Desert,0,1,0,1,1,"Morphological, Life History, Behavioural",3,1,0,0,,,1,T,0,0,0,0,1,,"Traits Used = diet preference, length at maturity, body size, clutch size, egg mass, relative clutch mass, expenditure per progeny, annual frequency of reporudction, survivorship year to year, susceptibility to predation, annual recruitment, mean generation time, life expectancy. Note: pdf not accessible ",
"Acevedo-Trejos, E; Maranon, E; Merico, A",2018,Phytoplankton size diversity and ecosystem function relationships across oceanic regions,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"Trait diversity, a key component of biodiversity, mediates many essential ecosystem functions and services. However, the mechanisms behind such relationships at large spatial scales are not fully understood. Here we adopt the functional biogeography approach to investigate how the size composition of phytoplankton communities relates to primary production and export production along a broad latitudinal gradient. Using in situ phytoplankton size distribution data and a trait-based model, we find an increase in the average phytoplankton size, size diversity, primary production and export when moving from low to high latitudes. Our analysis indicates that the interplay between spatio-temporal heterogeneities in environmental conditions and a trade-off between the high affinity for nutrients of smaller cells and the ability to avoid predation by larger cells are the main mechanisms driving the observed patterns. Our results also suggest that variations in size diversity alone do not directly lead to changes in primary production and export. The trade-off thus introduces a feedback that influences the relationship between size diversity and ecosystem functions. These findings support the importance of environmentally mediated trade-offs as crucial mechanisms shaping biodiversity and ecosystem function relationships at large spatial scales.",10.1098/rspb.2018.0621,Y,0,1,0,0,0,0,Observational,Marine,Plankton,Broad,0,1,0,0,0,Morphological,1,1,0,0,,,1,T,0,0,0,0,1,,Taxonomic is phytoplankton. Traits = body size,
"Acker, P.; Gregoire, A.; Rat, M.; Spottiswoode, C. N.; van Dijk, R. E.; Paquet, M.; Kaden, J. C.; Pradel, R.; Hatchwell, B. J.; Covas, R.; Doutrelant, C.",2015,Disruptive viability selection on a black plumage trait associated with dominance,JOURNAL OF EVOLUTIONARY BIOLOGY,"Traits used in communication, such as colour signals, are expected to have positive consequences for reproductive success, but their associations with survival are little understood. Previous studies have mainly investigated linear relationships between signals and survival, but both hump-shaped and U-shaped relationships can also be predicted, depending on the main costs involved in trait expression. Furthermore, few studies have taken the plasticity of signals into account in viability selection analyses. The relationship between signal expression and survival is of particular interest in melanin-based traits, because their main costs are still debated. Here, we first determined the main factors explaining variability in a melanin-based trait linked to dominance: the bib size of a colonial bird, the sociable weaver Philetairus socius. We then used these analyses to obtain a measure representative of the individual mean expression of bib size. Finally, we used capture-recapture models to study how survival varied in relation to bib size. Variation in bib size was strongly affected by year and moderately affected by age, body condition and colony size. In addition, individuals bearing small and large bibs had higher survival than those with intermediate bibs, and this U-shaped relationship between survival and bib size appeared to be more pronounced in some years than others. These results constitute a rare example of disruptive viability selection, and point towards the potential importance of social costs incurred by the dominance signalling function of badges of status.",10.1111/jeb.12717,Y,0,1,0,0,0,0,Observational,Terrestrial,Birds,Tropical Seasonal Forest,0,1,0,0,0,Morphological,1,0,0,1,,,0,E,0,0,0,0,1,1,"Traits Used = measure of bib size, body mass, tarsus length, age, sex",
"Ackerly, DD",2000,"Taxon sampling, correlated evolution, and independent contrasts",EVOLUTION,"Independent contrasts are widely used to incorporate phylogenetic information into studies of continuous traits, particularly analyses of evolutionary trait correlations, but the effects of taxon sampling on these analyses have received little attention. In this paper, simulations were used to investigate the effects of taxon sampling patterns and alternative branch length assignments on the statistical performance of correlation coefficients and sign tests; ''full-tree'' analyses based on contrasts at all nodes and ''paired-comparisons'' based only on contrasts of terminal taxon pairs were also compared. The simulations showed that random samples, with respect to the traits under consideration, provide statistically robust estimates of trait correlations. However, exact significance tests are highly dependent on appropriate branch length information; equal branch lengths maintain lower Type I error than alternative topological approaches, and adjusted critical values of the independent contrast correlation coefficient are provided for use with equal branch lengths. Nonrandom samples, with respect to univariate or bivariate trait distributions, introduce discrepancies between interspecific and phylogenetically structured analyses and bias estimates of underlying evolutionary correlations. Examples of nonrandom sampling processes may include community assembly processes, convergent evolution under local adaptive pressures, selection of a nonrandom sample of species from a habitat or life-history group, or investigator bias. Correlation analyses based on species pairs comparisons, while ignoring deeper relationships, entail significant loss of statistical power and as a result provide a conservative test of trait associations. Paired comparisons in which species differ by a large amount in one trait, a method introduced in comparative plant ecology, have appropriate Type I error rates and high statistical power, but do not correctly estimate the magnitude of trait correlations. Sign tests, based on full-tree or paired-comparison approaches, are highly reliable across a wide range of sampling scenarios, in terms of Type I error rates, but have very low power. These results provide guidance for selecting species and applying comparative methods to optimize the performance of statistical tests of trait associations.",10.1111/j.0014-3820.2000.tb00694.x,N,,,,,,,,,,,0,,,,,,,0,0,0,,,0,,,,,,0,,,
