Journal,Number of Relevant Papers
ECOLOGY,40
JOURNAL OF ECOLOGY,36
JOURNAL OF ANIMAL ECOLOGY,35
FUNCTIONAL ECOLOGY,29
GLOBAL ECOLOGY AND BIOGEOGRAPHY,28
PLOS ONE,28
ECOLOGY LETTERS,27
OECOLOGIA,27
OIKOS,22
ECOGRAPHY,20
ECOLOGY AND EVOLUTION,20
JOURNAL OF BIOGEOGRAPHY,20
JOURNAL OF VEGETATION SCIENCE,20
GLOBAL CHANGE BIOLOGY,19
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,17
FRESHWATER BIOLOGY,16
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,16
JOURNAL OF APPLIED ECOLOGY,14
DIVERSITY AND DISTRIBUTIONS,10
ECOSPHERE,10
ECOLOGICAL APPLICATIONS,9
HYDROBIOLOGIA,9
SCIENTIFIC REPORTS,9
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,7
ECOLOGICAL MONOGRAPHS,7
JOURNAL OF EVOLUTIONARY BIOLOGY,7
MARINE ECOLOGY PROGRESS SERIES,7
NEW PHYTOLOGIST,7
PEERJ,7
AMERICAN NATURALIST,6
BMC EVOLUTIONARY BIOLOGY,6
ESTUARINE COASTAL AND SHELF SCIENCE,6
EVOLUTION,6
FOREST ECOLOGY AND MANAGEMENT,6
SCIENCE OF THE TOTAL ENVIRONMENT,6
ANIMAL BEHAVIOUR,5
COMMUNITY ECOLOGY,5
ECOLOGICAL ENTOMOLOGY,5
ECOLOGICAL INDICATORS,5
EVOLUTIONARY ECOLOGY RESEARCH,5
METHODS IN ECOLOGY AND EVOLUTION,5
MOLECULAR ECOLOGY,5
ANNALS OF BOTANY,4
AQUATIC ECOLOGY,4
BIODIVERSITY AND CONSERVATION,4
BIOLOGICAL REVIEWS,4
ENVIRONMENTAL BIOLOGY OF FISHES,4
EVOLUTIONARY ECOLOGY,4
FORESTS,4
FRONTIERS IN ECOLOGY AND EVOLUTION,4
JOURNAL OF FISH BIOLOGY,4
JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,4
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,4
REVIEWS IN FISH BIOLOGY AND FISHERIES,4
ROYAL SOCIETY OPEN SCIENCE,4
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,3
BEHAVIORAL ECOLOGY,3
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,3
BIOLOGICAL CONSERVATION,3
ECOHYDROLOGY,3
FRONTIERS IN MICROBIOLOGY,3
INSECT CONSERVATION AND DIVERSITY,3
