Journal,Number of Relevant Papers
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2
ADAPTIVE BEHAVIOR,1
ADVANCES IN ECOLOGICAL RESEARCH,5
"ADVANCES IN MARINE BIOLOGY, VOL 56",1
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,3
AGRONOMY FOR SUSTAINABLE DEVELOPMENT,1
ALPINE BOTANY,2
AMERICAN FISHERIES SOCIETY SYMPOSIU,1
AMERICAN JOURNAL OF BOTANY,1
AMERICAN JOURNAL OF PRIMATOLOGY,1
AMERICAN NATURALIST,6
AMPHIBIA-REPTILIA,1
ANIMAL BEHAVIOUR,5
ANIMAL COGNITION,1
ANIMAL CONSERVATION,1
ANNALS OF BOTANY,4
ANNALS OF FOREST SCIENCE,1
"ANNUAL REVIEW OF ECOLOGY, EVOLUTION AND SYSTEMATICS",1
APPLIED SOIL ECOLOGY,1
AQUACULTURE RESEARCH,1
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,1
AQUATIC ECOLOGY,4
AQUATIC LIVING RESOURCES,1
ARTHROPOD-PLANT INTERACTIONS,1
AUSTRAL ECOLOGY,2
BASIC AND APPLIED ECOLOGY,1
BEHAVIORAL ECOLOGY,3
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,3
BIOCONTROL,1
BIODIVERSITY AND CONSERVATION,4
BIOGEOGRAPHIC PATTERNS OF SOUTH AMERICAN ANURANS,1
BIOGEOSCIENCES,2
BIOLOGIA,1
BIOLOGICAL BULLETIN,1
BIOLOGICAL CONSERVATION,3
BIOLOGICAL CONTROL,1
BIOLOGICAL INVASIONS,2
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,7
BIOLOGICAL REVIEWS,4
BIOLOGY LETTERS,1
BMC ECOLOGY,1
BMC EVOLUTIONARY BIOLOGY,6
BULLETIN OF INSECTOLOGY,1
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2
CANADIAN JOURNAL OF FOREST RESEARCH,1
CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,1
COMMUNITY ECOLOGY,5
CONDOR,1
CONSERVATION BIOLOGY,2
CONTINENTAL SHELF RESEARCH,1
CORAL REEFS,2
DATA IN BRIEF,1
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,2
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,1
DIVERSITY AND DISTRIBUTIONS,10
ECOGRAPHY,20
ECOHYDROLOGY,3
ECOLOGICAL APPLICATIONS,9
ECOLOGICAL COMPLEXITY,2
ECOLOGICAL ENGINEERING,2
ECOLOGICAL ENTOMOLOGY,5
ECOLOGICAL INDICATORS,5
ECOLOGICAL MODELLING,1
ECOLOGICAL MONOGRAPHS,7
ECOLOGICAL RESEARCH,1
ECOLOGY,40
ECOLOGY AND EVOLUTION,20
ECOLOGY LETTERS,27
ECOLOGY OF FRESHWATER FISH,2
ECOSPHERE,10
ECOSYSTEMS,1
ECOTOXICOLOGY,1
ENVIRONMENT INTERNATIONAL,1
ENVIRONMENTAL BIOLOGY OF FISHES,4
ENVIRONMENTAL ENTOMOLOGY,1
ENVIRONMENTAL MICROBIOLOGY,1
ENVIRONMENTAL MONITORING AND ASSESSMENT,1
ESTUARINE COASTAL AND SHELF SCIENCE,6
EUPHYTICA,1
EVOLUTION,6
EVOLUTIONARY BIOLOGY,1
EVOLUTIONARY ECOLOGY,4
EVOLUTIONARY ECOLOGY RESEARCH,5
EXPERIMENTAL AND APPLIED ACAROLOGY,1
FEMS MICROBIOLOGY ECOLOGY,1
FISH AND FISHERIES,2
FOREST ECOLOGY AND MANAGEMENT,6
FORESTRY,1
FORESTS,4
FRESHWATER BIOLOGY,16
FRESHWATER SCIENCE,1
FRONTIERS IN ECOLOGY AND EVOLUTION,4
FRONTIERS IN MARINE SCIENCE,2
FRONTIERS IN MICROBIOLOGY,3
FRONTIERS IN PLANT SCIENCE,2
FUNCTIONAL ECOLOGY,29
GENOME,1
GEODERMA,1
GEOSCIENTIFIC MODEL DEVELOPMENT,1
GLOBAL CHANGE BIOLOGY,19
GLOBAL ECOLOGY AND BIOGEOGRAPHY,28
GLOBAL ECOLOGY AND CONSERVATION,2
GRASS AND FORAGE SCIENCE,1
